Name	description	01	02	03	04	07	08	09	10	11	12
WASH7P	NaN	0.039432	0.39378	0.90003	-0.86205	0.10912	-0.084952	0.23416	-0.29889	0.67645	0.21475
MTND1P23	NaN	1.8388	0.2786	-0.0013342	7.9172	-0.21282	-0.01226	-0.9765	-1.6401	8.005	-0.02403
MTND2P28	NaN	0.429	-0.1191	0.15714	0.51398	0.57002	0.42216	-0.39961	0.08545	0.67794	-0.15932
hsa-mir-6723	NaN	0.17002	-0.060797	-2.6281	3.1406	-0.1618	-0.036992	-0.13427	0.121	4.3811	-0.093166
RP11-206L10.2	NaN	-0.091241	-0.16581	-0.55034	-0.013858	-0.013985	0.20841	-0.3898	2.6839	0.73448	-1.0009
FAM87B	NaN	-0.14416	0.30523	-0.33984	0.35242	0.46257	0.56167	1.0756	0.93957	-0.3044	-0.50799
LINC00115	NaN	0.11744	-0.59165	-0.22706	-0.44812	0.45238	-0.25239	0.46896	0.83745	-0.13698	-0.25069
NOC2L	NaN	0.10387	0.16184	0.18206	0.13078	0.26993	0.14187	0.25365	0.40344	0.5149	0.041202
KLHL17	NaN	0.10864	-0.085718	0.69721	0.013144	0.21001	0.17488	0.22552	0.31537	0.10308	0.087398
HES4	NaN	0.35599	-0.072074	0.34854	0.91858	-0.16145	0.61742	0.19164	-0.58218	-0.42873	0.40154
ISG15	NaN	-0.026986	-0.1517	0.32849	1.3546	0.13	0.33409	0.17701	-1.9159	-0.26856	0.031401
AGRN	NaN	0.28534	-0.37486	0.15467	0.55936	-0.35441	0.30724	0.31536	0.40255	1.4275	0.53782
C1orf159	NaN	0.40836	0.0033913	0.41055	0.35005	0.1356	0.42302	0.3823	0.31668	0.16653	0.25922
TTLL10-AS1	NaN	0.7967	-0.11368	0.48324	0.16561	-0.55184	0.81841	0.54102	0.5905	0.13274	0.59036
TTLL10	NaN	0.60564	-0.58656	0.015506	0.32575	-0.18837	1.0336	0.32467	0.38177	0.12189	0.087012
TNFRSF18	NaN	-0.16836	0.40218	1.1645	0.57435	0.38638	0.19825	-0.10918	-0.032022	-0.31597	0.51176
TNFRSF4	NaN	0.0096367	-0.80898	0.26034	-0.24658	-0.70871	0.20871	-0.59645	-0.85496	-0.35366	-0.3576
SDF4	NaN	-0.07939	0.17384	-0.03055	0.46957	0.20283	0.28184	0.30467	0.08542	0.49165	0.052666
B3GALT6	NaN	-0.18738	-0.019043	0.30952	0.36593	0.16156	0.14612	0.076609	-0.43782	0.17721	-0.078964
FAM132A	NaN	0.38036	-0.40328	0.3446	0.5971	-1.114	0.53609	0.053221	-0.6383	-0.3092	0.33817
UBE2J2	NaN	0.064832	0.17101	0.13816	0.24796	0.12537	0.1376	0.26566	0.010708	0.59863	0.054119
SCNN1D	NaN	0.30124	0.2435	0.077282	0.48973	-0.15165	0.53885	0.54082	-0.1521	-0.0058946	0.5717
ACAP3	NaN	0.054968	0.24063	0.4618	0.19227	0.21634	0.24777	0.49392	0.52162	0.75037	0.46225
PUSL1	NaN	0.2352	0.13224	0.36191	0.26706	0.42506	0.48222	0.10254	0.0032125	0.090075	0.2134
CPSF3L	NaN	0.20587	0.25589	0.35933	0.25659	0.13092	0.48249	0.35397	0.38095	0.66236	0.29696
GLTPD1	NaN	0.042317	-0.053841	0.0072651	0.32025	0.16304	0.25515	0.14451	-0.28359	0.60924	0.24812
TAS1R3	NaN	1.4757	0.98702	1.3633	2.5133	0.1205	0.8615	0.28764	0.54304	0.57868	0.66429
DVL1	NaN	0.15142	0.2744	0.16904	0.21697	0.27311	0.49121	0.39754	0.080867	0.46092	0.18645
MXRA8	NaN	-0.053459	0.038957	-0.037323	0.49345	0.27376	0.32936	0.26782	-0.31369	0.23763	-0.029313
AURKAIP1	NaN	-0.16162	0.068751	-0.13927	-0.048163	0.033528	0.10368	0.091971	-0.75019	-0.17236	-0.21442
CCNL2	NaN	0.10167	0.22718	0.13109	0.29235	0.28914	0.33589	0.21297	0.61938	-0.21681	0.11549
MRPL20	NaN	-0.17805	0.11108	-0.042823	0.013154	0.19668	0.076391	0.15606	-0.45836	-0.042399	-0.14197
ANKRD65	NaN	-0.001411	0.023966	-0.064705	2.6879	0.20328	-0.089599	0.2598	-0.30398	-0.39256	-0.77072
VWA1	NaN	-0.30941	-0.35404	0.71496	-0.36167	-0.52009	0.10316	0.21452	-0.554	0.80705	0.026239
ATAD3C	NaN	-0.32361	-0.33708	-0.070168	0.52534	-0.22873	-0.28942	-0.70131	-0.4842	0.29928	-0.93367
ATAD3B	NaN	0.0072194	0.037484	0.50829	0.090504	0.10793	0.50187	0.14959	0.31529	0.80868	0.16612
ATAD3A	NaN	-0.34513	0.068103	0.34991	-0.037086	0.23566	0.19122	0.078124	-0.1096	0.66722	0.074649
TMEM240	NaN	-0.68155	-0.38576	0.19132	0.89887	0.089572	-0.0060234	0.78675	-0.74925	1.1141	0.45395
SSU72	NaN	0.057141	0.21107	-0.0088734	-0.1758	0.24334	-0.069878	0.16852	-0.43688	0.36508	-0.023725
C1orf233	NaN	-1.0221	-0.76701	-0.72108	-0.079769	-0.076842	-2.4049	-0.80956	-0.39684	-0.0063621	-0.14583
MIB2	NaN	0.21772	0.15558	0.16629	0.27014	0.10093	0.42565	0.46731	0.081791	0.77824	0.29794
CDK11B	NaN	0.1657	0.31778	0.11024	0.4208	0.22797	0.36476	0.42923	0.056513	0.38992	0.14556
SLC35E2B	NaN	0.19232	0.15405	-0.071132	-0.45705	0.20223	0.036423	0.23436	1.5495	0.59098	0.090242
CDK11A	NaN	0.18306	0.45275	0.24233	1.1905	0.47712	0.61786	0.27456	0.58965	-0.441	0.021146
SLC35E2	NaN	0.15968	0.30659	0.23607	0.32196	0.27516	-0.33697	-0.15081	2.6453	-0.30894	-0.31911
NADK	NaN	0.0169	0.23091	0.45442	0.38795	0.070165	0.2838	0.2559	0.85853	0.13215	0.13576
GNB1	NaN	0.085639	0.18779	0.047544	0.35328	0.17872	0.18355	0.15273	0.63928	0.25479	0.17024
CALML6	NaN	-0.31566	-0.77822	-1.4803	-0.9166	-0.14042	-0.0045554	-0.64234	-0.39856	-0.28708	-0.37508
TMEM52	NaN	-0.94777	0.1889	-0.36585	0.10362	-0.44861	0.4758	-0.26333	-0.86675	-0.50149	-0.46508
C1orf86	NaN	0.32168	0.056115	0.061892	0.2279	0.19491	0.25207	0.27851	-0.31722	0.2977	-0.028126
SKI	NaN	-0.24414	-0.050612	-0.63681	0.28738	0.44069	0.21096	0.16771	0.94224	0.76064	-0.12982
MORN1	NaN	0.34491	0.13224	0.09113	0.54718	0.12994	0.4323	0.51663	0.68804	1.0447	0.28249
RER1	NaN	0.013768	0.18435	-0.020214	0.26961	0.30706	0.18583	0.24995	0.19988	0.29245	0.019498
PEX10	NaN	-0.037852	0.051512	-0.27692	-0.059969	0.23195	0.027156	0.0039795	0.30007	0.033661	-0.22752
PLCH2	NaN	0.49551	-0.11068	1.0585	0.092687	0.44034	-0.88141	-0.2982	1.1324	0.72186	0.3234
PANK4	NaN	-0.0004733	0.14142	0.4668	0.3148	0.19379	0.1458	0.22062	0.53395	0.46354	0.18305
TNFRSF14	NaN	0.14563	0.1587	0.68601	0.47465	0.34911	0.59078	0.21292	0.33991	0.58395	0.43683
RP3-395M20.9	NaN	-0.37654	-0.25621	0.68851	0.47833	0.16184	0.35643	0.72853	0.3484	-0.73886	0.61137
FAM213B	NaN	0.20636	-0.292	0.60707	0.095463	0.19595	0.12593	-0.023828	0.56172	0.97436	0.043384
MMEL1	NaN	0.078888	-0.44348	0.60526	0.45006	0.29677	0.24104	0.77274	0.20481	-0.95077	0.51285
TTC34	NaN	0.1949	0.80272	0.403	-0.32142	-0.24481	-0.72341	-0.00070728	1.1541	-0.75251	0.12221
LINC00982	NaN	0.67345	0.16363	0.13666	0.30914	0.57444	0.50074	0.73534	0.067433	-0.24332	0.80783
